Time,RAVEN_sample_ID,DNI_original,DNI_fourier,DNI_nofourier,DNI_zerofilter,DNI_gaussianed,Temp_original,Temp_fourier,Temp_nofourier,Temp_gaussianed
2940.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-10.675288723,15.675288723,2.42013215786
2970.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-10.3495838066,15.3495838066,2.3193823103
3000.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-9.76560977578,14.7656097758,2.15549496918
3030.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-8.94398548649,13.9439854865,1.94355071257
3060.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-7.91196678893,12.9119667889,1.68926229402
3090.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-6.70207888602,11.702078886,1.44144353943
3120.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-5.35054435537,10.3505443554,1.21138013041
3150.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-3.89560294974,8.89560294974,0.984083463182
3180.0,0,0.0,0.0,0.0,0.0,-0.322037927457,5.0,-2.375824208,7.375824208,0.78072534778
3210.0,0,0.0,0.0,0.0,0.0,-0.322037927457,4.0,-0.828512171259,4.82851217126,0.445832546423
3240.0,0,0.0,0.0,0.0,0.0,-0.322037927457,4.0,0.711706736943,3.28829326306,0.172975066878
3270.0,0,0.0,0.0,0.0,0.0,-0.322037927457,4.0,2.21403574687,1.78596425313,-0.131823678274
3300.0,0,51.0636140371,232.992071948,-181.92845791,-181.92845791,-1.36985724032,4.0,3.65234182657,0.347658173434,-0.47676004629
3330.0,0,-83.217886563,0.0,-83.217886563,0.0,-0.322037927457,6.0,5.00563658624,0.994363413758,-0.322585512332
3360.0,0,-28.1320736077,0.0,-28.1320736077,0.0,-0.322037927457,9.0,6.25819344822,2.74180655178,0.0666125965668
3390.0,0,-7.44052641839,0.0,-7.44052641839,0.0,-0.322037927457,10.0,7.3993155392,2.6006844608,0.0382823111073
3420.0,0,-0.651041762571,0.0,-0.651041762571,0.0,-0.322037927457,12.0,8.4227924041,3.5772075959,0.225293639312
3450.0,0,0.250614815452,239.81004658,-239.559431765,-239.559431765,-2.02196603737,13.0,9.32610430601,3.67389569399,0.2423399057
3480.0,0,1.16675525987,240.817051937,-239.650296677,-239.650296677,-2.02302874317,15.0,10.1094491649,4.89055083508,0.455286608543
3510.0,0,0.54348513665,243.451128636,-242.907643499,-242.907643499,-2.06272800585,15.0,10.7746780057,4.22532199426,0.346541195974
3540.0,0,-0.737039413726,0.0,-0.737039413726,0.0,-0.322037927457,16.0,11.324229417,4.67577058295,0.421861642685
3570.0,0,-1.16230709448,0.0,-1.16230709448,0.0,-0.322037927457,17.0,11.7601516784,5.23984832157,0.509467675149
3600.0,0,-3.07123158222,0.0,-3.07123158222,0.0,-0.322037927457,18.0,12.0832930548,5.91670694524,0.604598587446
3630.0,0,-2.4533419619,0.0,-2.4533419619,0.0,-0.322037927457,18.0,12.2927268728,5.70727312719,0.577099938582
3660.0,0,1.05426486298,282.28686975,-281.232604887,-281.232604887,-2.763479827,18.0,12.3854593781,5.61454062187,0.564014199887
3690.0,0,2.97393207928,291.579032036,-288.605099956,-288.605099956,-2.96519250658,18.0,12.3564463302,5.64355366976,0.56809783383
3720.0,0,1.48382106828,299.182882465,-297.699061396,-297.699061396,-3.27435504495,18.0,12.1989203825,5.80107961747,0.589943743052
3750.0,0,0.257278130987,303.963091334,-303.705813203,-303.705813203,-8.1258906647,16.0,11.9050071873,4.09499281272,0.32145837979
3780.0,0,-8.34021702449,0.0,-8.34021702449,0.0,-0.322037927457,15.0,11.4665855602,3.53341443981,0.217594620066
3810.0,0,-27.6505049476,0.0,-27.6505049476,0.0,-0.322037927457,14.0,10.8763275217,3.12367247828,0.142385288321
3840.0,0,-86.6557707381,0.0,-86.6557707381,0.0,-0.322037927457,13.0,10.1288389855,2.87116101448,0.093701970598
3870.0,0,60.1688428154,275.729900855,-215.561058039,-215.561058039,-1.70987728245,12.0,9.22181235906,2.77818764094,0.0742257168206
3900.0,0,0.0,0.0,0.0,0.0,-0.322037927457,12.0,8.15709905231,3.84290094769,0.273616485188
3930.0,0,0.0,0.0,0.0,0.0,-0.322037927457,11.0,6.94161312063,4.05838687937,0.314447061245
