Time,DNI,Temp,RH
16860,0,9,44.74
16890,0,8,47.85
16920,0,8,46.79
16950,0,8,50.07
16980,0,8,48.59
17010,0,7,48.6
17040,0,7,47.64
17070,0,7,47.64
17100,0,7,46.82
17130,0,6,50.12
17160,0,6,49.32
17190,0,6,52.83
17220,0,6,52.15
17250,0,5,55.89
17280,0,5,55.35
17310,0,4,55.36
17340,0,4,55.01
17370,0,3,58.99
17400,0,3,58.9
17430,0,3,63.18
17460,0,3,63.21
17490,0,2,63.21
17520,0,2,63.19
17550,0,2,63.2
17580,0,2,63.19
17610,0,2,67.84
17640,0,2,67.87
17670,0,3,63.23
17700,55.53875106,4,62.04
17730,-45.28803371,6,54
17760,11.12111049,8,45.03
17790,28.40204632,9,42.12
17820,33.35117985,11,37.69
17850,535.8020424,12,35.3
17880,522.5418953,14,34.44
17910,488.9614101,15,32.27
17940,23.92569917,16,31.66
17970,22.95931838,16,31.64
18000,20.76470634,17,30.53
18030,21.43232467,17,30.52
18060,20.46633841,17,30.94
18090,423.6399655,16,30.93
18120,405.5979954,16,31.15
18150,21.94742395,15,33.18
18180,17.1094222,14,45.18
18210,433.7648192,12,51.41
18240,321.6500029,11,48.94
18270,167.971218,10,52.28
18300,0,10,48.82
18330,0,9,52.18
18360,0,9,51.43
18390,0,8,54.99
18420,0,8,53.52
18450,0,7,57.26
18480,0,7,55.19
18510,0,6,59.07
18540,0,6,56.73
18570,0,6,60.74
18600,0,6,58.42
18630,0,5,58.4
18660,0,5,56.24
18690,0,4,60.27
18720,0,4,57.89
18750,0,4,62.07
18780,0,4,59.49
18810,0,4,59.47
18840,0,4,56.77
18870,0,4,56.75
18900,0,4,54.2
18930,0,4,54.19
18960,0,4,52.34
18990,0,4,52.33
19020,0,4,51.04
19050,0,4,51.03
19080,0,4,49.82
19110,0,4,46.45
19140,57.71020483,5,44.04
19170,427.8604034,6,41.12
19200,656.1679719,8,35.52
19230,-0.137265878,9,33.22
19260,54.50293659,10,30.73
19290,345.7822208,11,28.76
19320,-12.57267161,12,26.44
19350,242.8015124,12,26.43
19380,336.7574009,13,23.43
19410,321.8150186,13,23.41
19440,324.6777194,14,22.39
19470,452.4420934,14,22.38
19500,662.6252975,14,21.78
19530,350.0248035,13,21.77
19560,378.33093,13,22.74
19590,683.2411071,12,24.25
19620,223.3726502,11,35.28
19650,154.8791519,10,40.26
19680,130.6655038,9,44.14
19710,181.57775,8,47.22
19740,0,8,44.85
19770,0,7,44.85
19800,0,7,43.54
19830,0,6,46.61
19860,0,6,45.34
19890,0,6,48.55
19920,0,6,47.2
19950,0,5,47.2
19980,0,5,45.68
20010,0,4,48.95
20040,0,4,47.89
20070,0,3,51.34
20100,0,3,50.65
20130,0,3,54.33
20160,0,3,53.65
20190,0,2,53.66
20220,0,2,52.99
20250,0,2,56.87
20280,0,2,56.04
20310,0,1,56.03
20340,0,1,55.23
20370,0,1,55.22
20400,0,1,54.29
20430,0,1,58.33
20460,0,1,57.42
20490,0,1,57.43
20520,0,1,56.62
20550,0,2,52.71
20580,60.24374329,3,53.77
20610,-13.64270418,5,46.74
20640,33.40021913,7,38.87
20670,47.43359801,8,36.31
20700,47.72701695,9,32.27
20730,45.81339521,10,30.19
20760,44.35068008,12,26.8
20790,40.67101912,13,26.79
20820,39.61273011,14,25.21
20850,37.69032089,14,25.2
20880,37.60748536,15,23.69
20910,38.46657158,15,23.68
20940,38.79744594,15,23.62
20970,41.42153267,15,23.61
21000,43.07419104,15,23.45
21030,45.54219867,14,25.01
21060,42.63613247,13,33.39
21090,33.97414409,12,38.04
21120,-3.382989151,11,36.55
21150,-82.51250342,10,39.07
