#1	
"double Cosine(6247, 2)"	
495.5	1
496	0.897069
496.5	0.828705
497	0.757528
497.5	0.698511
498	0.669549
498.5	0.682223
499	0.731353
499.5	0.799911
500	0.870734
500.5	0.932851
501	1
501.5	0.799736
502	0
502.5	0
503	0
503.5	0
504	0
504.5	0
505	0
505.5	0
506	0
506.5	0
507	0
507.5	1
508	0.899107
508.5	0.831456
509	0.760881
509.5	0.70235
510	0.673651
510.5	0.686277
511	0.735036
511.5	0.80301
512	0.873168
512.5	0.934568
513	1
513.5	1
514	0
514.5	0
515	0
515.5	0
516	0
516.5	0
517	0
517.5	0
518	0
518.5	0
519	0
519.5	1
520	0.901136
520.5	0.834208
521	0.764245
521.5	0.70621
522	0.677784
522.5	0.690369
523	0.738757
523.5	0.806111
524	0.875625
524.5	0.936292
525	1
525.5	1
526	0
526.5	0
527	0
527.5	0
528	0
528.5	0
529	0
529.5	0
530	0
530.5	0
531	0
531.5	0
532	0
532.5	0.836848
533	0.767619
533.5	0.710091
534	0.681948
534.5	0
535	0.741908
535.5	0.809255
536	0.8781
536.5	0.938022
537	1
537.5	0
538	0
538.5	0
539	0
539.5	0
540	0
540.5	0
541	0
541.5	0
542	0
542.5	0
543	0
543.5	1
544	0.905169
544.5	0.83971
545	0.771002
545.5	0.71399
546	0.686139
546.5	0.698659
547	0.746304
547.5	0.812488
548	0.880592
548.5	0.939756
549	1
549.5	1
550	1
550.5	0
551	0
551.5	0
552	0
552.5	0
553	0
553.5	0
554	0
554.5	0
555	0
555.5	0
556	0.907171
556.5	0.842354
557	0.774392
557.5	0.717831
558	0.690356
558.5	0.702852
559	0.750124
559.5	0.815699
560	0.883098
560.5	0.941492
561	1
561.5	1
562	1
562.5	0
563	0
563.5	0
564	0
564.5	0
565	0
565.5	0
566	0
566.5	0
567	0
567.5	1
568	0.909162
568.5	0.845195
569	0.777512
569.5	0.721839
570	0.694597
570.5	0.707073
571	0.753972
571.5	0.818906
572	0.885617
572.5	0.943228
573	1
573.5	1
574	0
574.5	0
575	0
575.5	0
576	0
576.5	0
577	0
577.5	0
578	0
578.5	0
579	0
579.5	0
580	0.911141
580.5	0.847947
581	0.781189
581.5	0.725785
582	0.698859
582.5	0.71132
583	0.757845
583.5	0.822183
584	0.888146
584.5	0.944963
585	1
585.5	1
586	1
586.5	0
587	0
587.5	0
588	0
588.5	0
589	0
589.5	0
590	0
590.5	0
591	0
591.5	1
592	0.913108
592.5	0.850684
593	0.784593
593.5	0.729743
594	0.703141
594.5	0.715591
595	0.76174
595.5	0.825451
596	0.890682
596.5	0.946695
597	1
597.5	1
598	1
598.5	0
599	0
599.5	0
600	0
600.5	0
601	0
601.5	0
602	0
602.5	0
603	0
603.5	1
604	0.915062
604.5	0.853414
605	0.787999
605.5	0.733711
606	0.707439
606.5	0.719883
607	0.765655
607.5	0.828733
608	0.893224
608.5	0.948422
609	1
609.5	1
610	1
