Hours since 00:00 Jan 1,,Hourly Data: Field collector cosine efficiency
570.5,285,1
571.5,285.5,1
572.5,286,0
573.5,286.5,0
574.5,287,0
575.5,287.5,0
576.5,288,0
577.5,288.5,0
578.5,289,0
579.5,289.5,0
580.5,290,0
581.5,290.5,0
582.5,291,0
583.5,291.5,0
584.5,292,0.860736
585.5,292.5,0.781677
586.5,293,0.702169
587.5,293.5,0.637432
588.5,294,0.606571
589.5,294.5,0.621568
590.5,295,0.676766
591.5,295.5,0.753771
592.5,296,0.833948
593.5,296.5,1
594.5,297,1
595.5,297.5,1
596.5,298,0
597.5,298.5,0
598.5,299,0
599.5,299.5,0
600.5,300,0
601.5,300.5,0
602.5,301,0
603.5,301.5,0
604.5,302,0
605.5,302.5,0
606.5,303,0
607.5,303.5,0
608.5,304,0.862765
609.5,304.5,0.784223
610.5,305,0.705141
611.5,305.5,0.640665
612.5,306,0.609828
613.5,306.5,0.624587
614.5,307,0.679377
615.5,307.5,0.75592
616.5,308,0.835607
617.5,308.5,0.907154
618.5,309,1
619.5,309.5,1
620.5,310,0
621.5,310.5,0
622.5,311,0
623.5,311.5,0
624.5,312,0
625.5,312.5,0
626.5,313,0
627.5,313.5,0
628.5,314,0
629.5,314.5,0
630.5,315,0
631.5,315.5,0
632.5,316,0.864803
633.5,316.5,0.786665
634.5,317,0.708148
635.5,317.5,0.643289
636.5,318,0.61315
637.5,318.5,0.627684
638.5,319,0.681393
639.5,319.5,0.75814
640.5,320,0.837586
641.5,320.5,0.908474
642.5,321,1
643.5,321.5,0
644.5,322,0
645.5,322.5,0
646.5,323,0
647.5,323.5,0
648.5,324,0
649.5,324.5,0
650.5,325,0
651.5,325.5,0
652.5,326,0
653.5,326.5,0
654.5,327,0
655.5,327.5,0
656.5,328,0.86685
657.5,328.5,0.789437
658.5,329,0.711187
659.5,329.5,0.647277
660.5,330,0.616535
661.5,330.5,0.630856
662.5,331,0.684834
663.5,331.5,0.760429
664.5,332,0.839184
665.5,332.5,0.909831
666.5,333,1
667.5,333.5,1
668.5,334,0
669.5,334.5,0
670.5,335,0
671.5,335.5,0
672.5,336,0
673.5,336.5,0
674.5,337,0
675.5,337.5,0
676.5,338,0
677.5,338.5,0
678.5,339,0
679.5,339.5,0
680.5,340,0.868905
681.5,340.5,0.792051
682.5,341,0.714258
683.5,341.5,0.650653
684.5,342,0.619982
685.5,342.5,0.634102
686.5,343,0.687676
687.5,343.5,0.762786
688.5,344,0.841054
689.5,344.5,0.911223
690.5,345,1
691.5,345.5,1
692.5,346,0
693.5,346.5,0
694.5,347,0
695.5,347.5,0
696.5,348,0
697.5,348.5,0
698.5,349,0
699.5,349.5,0
700.5,350,0
701.5,350.5,0
702.5,351,0
703.5,351.5,0
704.5,352,0.870966
705.5,352.5,0.794692
706.5,353,0.717358
707.5,353.5,0.654072
708.5,354,0.623489
709.5,354.5,0.637419
710.5,355,0.690592
711.5,355.5,0.765208
712.5,356,0.842977
713.5,356.5,0.912649
714.5,357,1
715.5,357.5,1
716.5,358,0
717.5,358.5,0
718.5,359,0
719.5,359.5,0
720.5,360,0
721.5,360.5,0
722.5,361,0
723.5,361.5,0
724.5,362,0
725.5,362.5,0
726.5,363,0
727.5,363.5,0
728.5,364,0
729.5,364.5,0.797198
730.5,365,0.71961
731.5,365.5,0.656687
732.5,366,0.627054
733.5,366.5,0.640806
734.5,367,0.693579
735.5,367.5,0.767694
736.5,368,0.844949
737.5,368.5,0.915015
738.5,369,1
739.5,369.5,1
740.5,370,0
741.5,370.5,0
742.5,371,0
743.5,371.5,0
744.5,372,0
745.5,372.5,0
746.5,373,0
747.5,373.5,0
748.5,374,0
749.5,374.5,0
750.5,375,0
751.5,375.5,0
752.5,376,0.876433
753.5,376.5,0.801477
754.5,377,0.724868
755.5,377.5,0.661665
756.5,378,0.630725
757.5,378.5,0.644343
758.5,379,0.697216
759.5,379.5,0.771227
760.5,380,0.848058
761.5,380.5,0.916524
762.5,381,1
763.5,381.5,1
764.5,382,0
765.5,382.5,0
766.5,383,0
767.5,383.5,0
768.5,384,0
769.5,384.5,0
770.5,385,0
771.5,385.5,0
772.5,386,0
773.5,386.5,0
774.5,387,0
775.5,387.5,0
776.5,388,0.878505
777.5,388.5,0.804162
778.5,389,0.728045
779.5,389.5,0.665201
780.5,390,0.634398
781.5,390.5,0.647877
782.5,391,0.70037
783.5,391.5,0.773869
784.5,392,0.850155
785.5,392.5,0.918061
786.5,393,1
787.5,393.5,1
788.5,394,0
789.5,394.5,0
790.5,395,0
791.5,395.5,0
792.5,396,0
793.5,396.5,0
794.5,397,0
795.5,397.5,0
796.5,398,0
797.5,398.5,0
798.5,399,0
799.5,399.5,0
800.5,400,0.880578
801.5,400.5,0.806858
802.5,401,0.731245
803.5,401.5,0.668774
804.5,402,0.638123
805.5,402.5,0.651473
806.5,403,0.703588
807.5,403.5,0.776568
808.5,404,0.852296
809.5,404.5,0.919623
810.5,405,1
811.5,405.5,1
812.5,406,0
813.5,406.5,0
814.5,407,0
815.5,407.5,0
816.5,408,0
817.5,408.5,0
818.5,409,0
819.5,409.5,0
820.5,410,0
821.5,410.5,0
822.5,411,0
823.5,411.5,0
824.5,412,0.88265
825.5,412.5,0.809565
826.5,413,0.734467
827.5,413.5,0.672383
828.5,414,0.641897
829.5,414.5,0.65513
830.5,415,0.706869
831.5,415.5,0.779321
832.5,416,0.854478
833.5,416.5,0.921211
834.5,417,1
835.5,417.5,1
836.5,418,0
837.5,418.5,0
838.5,419,0
839.5,419.5,0
840.5,420,0
841.5,420.5,0
842.5,421,0
843.5,421.5,0
844.5,422,0
845.5,422.5,0
846.5,423,0
847.5,423.5,0
848.5,424,0.884721
849.5,424.5,0.81228
850.5,425,0.73771
851.5,425.5,0.676026
852.5,426,0.64572
853.5,426.5,0.658846
854.5,427,0.710209
855.5,427.5,0.782127
856.5,428,0.8567
857.5,428.5,0.922821
858.5,429,1
859.5,429.5,1
860.5,430,0
861.5,430.5,0
862.5,431,0
863.5,431.5,0
864.5,432,0
865.5,432.5,0
866.5,433,0
867.5,433.5,0
868.5,434,0
869.5,434.5,0
870.5,435,0
871.5,435.5,0
872.5,436,0.88679
873.5,436.5,0.815004
874.5,437,0.740971
875.5,437.5,0.679701
876.5,438,0.649588
877.5,438.5,0.662617
878.5,439,0.713606
879.5,439.5,0.784982
880.5,440,0.858959
881.5,440.5,0.924451
882.5,441,1
883.5,441.5,1
884.5,442,0
885.5,442.5,0
886.5,443,0
887.5,443.5,0
888.5,444,0
889.5,444.5,0
890.5,445,0
891.5,445.5,0
892.5,446,0
893.5,446.5,0
894.5,447,0
895.5,447.5,1
896.5,448,0.888856
897.5,448.5,0.817734
898.5,449,0.744251
899.5,449.5,0.683407
900.5,450,0.6535
901.5,450.5,0.666441
902.5,451,0.717057
903.5,451.5,0.787884
904.5,452,0.861253
905.5,452.5,0.926101
906.5,453,1
907.5,453.5,1
908.5,454,0
909.5,454.5,0
910.5,455,0
911.5,455.5,0
912.5,456,0
913.5,456.5,0
914.5,457,0
915.5,457.5,0
916.5,458,0
917.5,458.5,0
918.5,459,0
919.5,459.5,0
920.5,460,0.890917
921.5,460.5,0.820341
922.5,461,0.747548
923.5,461.5,0.68594
924.5,462,0.657454
925.5,462.5,0.670317
926.5,463,0.72056
927.5,463.5,0.79083
928.5,464,0.86358
929.5,464.5,0.927768
930.5,465,1
931.5,465.5,1
932.5,466,0
933.5,466.5,0
