Time,RAVEN_sample_ID,Temp_original,Temp_fourier,Temp_nofourier,Temp_gaussianed,RH_original,RH_fourier,RH_nofourier,RH_gaussianed
386490.0,0,30.0,24.5857460082,5.41425399183,1.50674595937,11.0,25.6830468721,-14.6830468721,-1.14808071857
386520.0,0,31.0,25.5805092578,5.41949074218,1.50807945749,10.32,23.5360770454,-13.2160770454,-0.995928249643
386550.0,0,31.0,26.4461588315,4.5538411685,1.256856402,10.31,21.7147736821,-11.4047736821,-0.820320871132
386580.0,0,32.0,27.1542439137,4.84575608628,1.34291991253,9.65,20.2787767387,-10.6287767387,-0.751008618583
386610.0,0,32.0,27.6830111352,4.31698886482,1.17499378992,9.64,19.2694362983,-9.62943629828,-0.649486838119
386640.0,0,33.0,28.0184274938,4.98157250618,1.38430653552,8.98,18.7079674869,-9.7279674869,-0.659656271026
386670.0,0,33.0,28.1547543971,4.84524560289,1.34276298492,8.98,18.5948256984,-9.61482569843,-0.647984601249
386700.0,0,33.0,28.0946402495,4.90535975046,1.36147490723,8.86,18.9103306607,-10.0503306607,-0.693418231936
386730.0,0,33.0,27.848730385,5.151269615,1.43312635033,8.86,19.6164856054,-10.7564856054,-0.763939404121
386760.0,0,33.0,27.4348245134,5.56517548656,1.54653239821,8.79,20.6598593857,-11.8698593857,-0.864221237545
386790.0,0,32.0,26.8766411035,5.12335889649,1.42493380771,8.79,21.9753301102,-13.1853301102,-0.992802353168
386820.0,0,32.0,26.202273292,5.79772670804,1.61219469068,8.73,23.4904334072,-14.7604334072,-1.15642829169
386850.0,0,31.0,25.4424403075,5.55755969253,1.54438698979,9.24,25.1300205043,-15.8900205043,-1.26878528217
386880.0,0,31.0,24.6286507292,6.37134927083,1.7852455146,9.91,26.8209134574,-16.9109134574,-1.36515728694
386910.0,0,29.0,23.7913983531,5.20860164691,1.44927131778,11.12,28.4962482263,-17.3762482263,-1.40419264725
386940.0,0,27.0,22.9585077388,4.04149226116,1.0907772507,13.43,30.0992206082,-16.6692206082,-1.34232284064
386970.0,0,26.0,22.153734929,3.84626507102,1.03099451076,14.24,31.5859935865,-17.3459935865,-1.40164075731
387000.0,0,26.0,21.3957101896,4.60428981038,1.27117214641,14.37,32.9275844098,-18.5575844098,-1.50644308289
387030.0,0,25.0,20.6972852034,4.30271479661,1.17061585381,15.24,34.1106215854,-18.8706215854,-1.53574688561
387060.0,0,25.0,20.0653186388,4.93468136124,1.37077744253,15.09,35.1369409906,-20.0469409906,-1.64898621953
387090.0,0,24.0,19.5009033817,4.49909661833,1.23733984457,16.02,36.022071077,-20.002071077,-1.64437014326
387120.0,0,24.0,19.0000080468,4.99999195317,1.38945568487,15.7,36.7927341214,-21.0927341214,-1.75464474546
387150.0,0,23.0,18.5544767876,4.4455232124,1.21823660799,16.67,37.4835583971,-20.8135583971,-1.72632315758
387180.0,0,23.0,18.1533068496,4.84669315039,1.34320806134,16.41,38.1332503597,-21.7232503597,-1.81550369087
387210.0,0,22.0,17.7841044419,4.21589555809,1.14445767563,16.41,38.7805127621,-22.3705127621,-1.86940355032
387240.0,0,22.0,17.434607615,4.56539238505,1.26011150725,16.21,39.4600115126,-23.2500115126,-1.95290667035
387270.0,0,22.0,17.0941607436,4.90583925637,1.36162608871,17.22,40.1986899402,-22.9786899402,-1.92753412571
387300.0,0,22.0,16.7550291852,5.24497081478,1.45971213609,17.05,41.0127042155,-23.9627042155,-2.01672283738
387330.0,0,21.0,16.413454435,4.58654556504,1.26610728314,17.05,41.9052097212,-24.8552097212,-2.09858346193
387360.0,0,21.0,16.0703688206,4.92963117936,1.36916677151,16.83,42.8651681909,-26.0351681909,-2.2023180459
387390.0,0,21.0,15.7317131682,5.26828683183,1.46649028812,17.89,43.8672735662,-25.9772735662,-2.19688532261
