Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
579.00	33.000	102.74	0.0097331	3026.1	3347.3	6.0853	2.1191	3.4573	652.97	3.0654	35.005	0.11510	supercritical
580.00	33.000	102.49	0.0097569	3028.8	3350.8	6.0893	2.1173	3.4487	653.70	3.0576	35.038	0.11512	supercritical
581.00	33.000	102.24	0.0097807	3031.4	3354.2	6.0934	2.1156	3.4403	654.43	3.0499	35.071	0.11514	supercritical
582.00	33.000	101.99	0.0098044	3034.1	3357.6	6.0974	2.1138	3.4320	655.16	3.0421	35.103	0.11516	supercritical
583.00	33.000	101.75	0.0098280	3036.7	3361.1	6.1014	2.1121	3.4237	655.89	3.0343	35.136	0.11518	supercritical
584.00	33.000	101.51	0.0098516	3039.4	3364.5	6.1054	2.1104	3.4156	656.61	3.0266	35.169	0.11520	supercritical
585.00	33.000	101.26	0.0098752	3042.0	3367.9	6.1094	2.1087	3.4076	657.33	3.0188	35.202	0.11522	supercritical
586.00	33.000	101.02	0.0098986	3044.6	3371.3	6.1133	2.1071	3.3997	658.04	3.0111	35.235	0.11524	supercritical
587.00	33.000	100.79	0.0099220	3047.3	3374.7	6.1173	2.1055	3.3919	658.76	3.0034	35.268	0.11527	supercritical
588.00	33.000	100.55	0.0099454	3049.9	3378.1	6.1212	2.1039	3.3841	659.47	2.9956	35.301	0.11530	supercritical
589.00	33.000	100.31	0.0099687	3052.5	3381.5	6.1251	2.1023	3.3765	660.18	2.9879	35.335	0.11533	supercritical
590.00	33.000	100.08	0.0099919	3055.1	3384.8	6.1291	2.1007	3.3690	660.88	2.9803	35.368	0.11536	supercritical
591.00	33.000	99.849	0.010015	3057.7	3388.2	6.1330	2.0992	3.3615	661.59	2.9726	35.401	0.11539	supercritical
592.00	33.000	99.619	0.010038	3060.3	3391.6	6.1368	2.0977	3.3542	662.29	2.9649	35.434	0.11542	supercritical
593.00	33.000	99.391	0.010061	3062.9	3394.9	6.1407	2.0962	3.3469	662.99	2.9573	35.468	0.11545	supercritical
594.00	33.000	99.164	0.010084	3065.5	3398.3	6.1446	2.0947	3.3398	663.69	2.9496	35.501	0.11549	supercritical
595.00	33.000	98.939	0.010107	3068.1	3401.6	6.1484	2.0932	3.3327	664.38	2.9420	35.535	0.11552	supercritical
596.00	33.000	98.715	0.010130	3070.6	3404.9	6.1522	2.0918	3.3257	665.07	2.9344	35.568	0.11556	supercritical
597.00	33.000	98.493	0.010153	3073.2	3408.2	6.1561	2.0904	3.3188	665.76	2.9268	35.602	0.11560	supercritical
598.00	33.000	98.272	0.010176	3075.8	3411.6	6.1599	2.0890	3.3120	666.45	2.9192	35.635	0.11564	supercritical
599.00	33.000	98.053	0.010199	3078.3	3414.9	6.1637	2.0876	3.3052	667.13	2.9116	35.669	0.11568	supercritical
600.00	33.000	97.835	0.010221	3080.9	3418.2	6.1675	2.0862	3.2985	667.81	2.9041	35.702	0.11572	supercritical
601.00	33.000	97.619	0.010244	3083.4	3421.5	6.1712	2.0849	3.2920	668.49	2.8965	35.736	0.11577	supercritical
602.00	33.000	97.404	0.010267	3086.0	3424.8	6.1750	2.0836	3.2855	669.17	2.8890	35.770	0.11581	supercritical
603.00	33.000	97.190	0.010289	3088.5	3428.0	6.1787	2.0823	3.2790	669.85	2.8815	35.803	0.11586	supercritical
604.00	33.000	96.978	0.010312	3091.0	3431.3	6.1825	2.0810	3.2727	670.52	2.8740	35.837	0.11591	supercritical
605.00	33.000	96.767	0.010334	3093.6	3434.6	6.1862	2.0797	3.2664	671.19	2.8665	35.871	0.11595	supercritical
606.00	33.000	96.558	0.010356	3096.1	3437.8	6.1899	2.0785	3.2602	671.86	2.8590	35.905	0.11600	supercritical
607.00	33.000	96.350	0.010379	3098.6	3441.1	6.1936	2.0772	3.2541	672.53	2.8516	35.939	0.11605	supercritical
608.00	33.000	96.143	0.010401	3101.1	3444.4	6.1973	2.0760	3.2480	673.19	2.8442	35.973	0.11610	supercritical
609.00	33.000	95.938	0.010423	3103.6	3447.6	6.2010	2.0748	3.2420	673.86	2.8367	36.006	0.11616	supercritical
610.00	33.000	95.734	0.010446	3106.1	3450.8	6.2047	2.0736	3.2361	674.52	2.8293	36.040	0.11621	supercritical
611.00	33.000	95.531	0.010468	3108.6	3454.1	6.2083	2.0725	3.2302	675.18	2.8219	36.074	0.11626	supercritical
612.00	33.000	95.330	0.010490	3111.1	3457.3	6.2120	2.0713	3.2244	675.83	2.8145	36.108	0.11632	supercritical
613.00	33.000	95.129	0.010512	3113.6	3460.5	6.2156	2.0702	3.2187	676.49	2.8072	36.142	0.11638	supercritical
614.00	33.000	94.930	0.010534	3116.1	3463.7	6.2192	2.0691	3.2131	677.14	2.7998	36.177	0.11643	supercritical
615.00	33.000	94.733	0.010556	3118.6	3466.9	6.2228	2.0680	3.2075	677.79	2.7925	36.211	0.11649	supercritical
616.00	33.000	94.536	0.010578	3121.1	3470.2	6.2264	2.0669	3.2020	678.44	2.7852	36.245	0.11655	supercritical
617.00	33.000	94.341	0.010600	3123.6	3473.4	6.2300	2.0658	3.1965	679.08	2.7779	36.279	0.11661	supercritical
618.00	33.000	94.147	0.010622	3126.0	3476.5	6.2336	2.0647	3.1911	679.73	2.7706	36.313	0.11667	supercritical
619.00	33.000	93.954	0.010644	3128.5	3479.7	6.2372	2.0637	3.1857	680.37	2.7633	36.347	0.11673	supercritical
620.00	33.000	93.762	0.010665	3131.0	3482.9	6.2408	2.0627	3.1805	681.01	2.7561	36.381	0.11680	supercritical
621.00	33.000	93.571	0.010687	3133.4	3486.1	6.2443	2.0617	3.1752	681.65	2.7488	36.416	0.11686	supercritical
622.00	33.000	93.381	0.010709	3135.9	3489.3	6.2479	2.0607	3.1701	682.29	2.7416	36.450	0.11692	supercritical
623.00	33.000	93.193	0.010730	3138.3	3492.4	6.2514	2.0597	3.1650	682.92	2.7344	36.484	0.11699	supercritical
624.00	33.000	93.006	0.010752	3140.8	3495.6	6.2549	2.0587	3.1599	683.56	2.7272	36.519	0.11706	supercritical
