Source,Location ID,City,State,Country,Latitude,Longitude
NSRDB,862903,-,-,-,43.09,-89.42
Year,Month,Day,Hour,Minute,DHI,DNI
2018,1,2,10,30,89,582
2018,1,2,11,0,113,514
2018,1,2,11,30,118,517
2018,1,2,12,0,102,645
2018,1,2,12,30,101,658
2018,1,2,13,0,106,594
2018,1,2,13,30,67,730
2018,1,2,14,0,63,687
2018,1,2,14,30,69,560
2018,1,2,15,0,63,427
2018,1,2,15,30,49,308
2018,1,2,16,0,28,154
2018,1,2,16,30,6,52
2018,1,2,17,0,0,0
2018,1,2,17,30,0,0
2018,1,2,18,0,0,0
2018,1,2,18,30,0,0
2018,1,2,19,0,0,0
2018,1,2,19,30,0,0
2018,1,2,20,0,0,0
2018,1,2,20,30,0,0
2018,1,2,21,0,0,0
2018,1,2,21,30,0,0
2018,1,2,22,0,0,0
2018,1,2,22,30,0,0
2018,1,2,23,0,0,0
2018,1,2,23,30,0,0
2018,1,3,0,0,0,0
2018,1,3,0,30,0,0
2018,1,3,1,0,0,0
2018,1,3,1,30,0,0
2018,1,3,2,0,0,0
2018,1,3,2,30,0,0
2018,1,3,3,0,0,0
2018,1,3,3,30,0,0
2018,1,3,4,0,0,0
2018,1,3,4,30,0,0
2018,1,3,5,0,0,0
2018,1,3,5,30,0,0
2018,1,3,6,0,0,0
2018,1,3,6,30,0,0
2018,1,3,7,0,0,0
2018,1,3,7,30,5,50
2018,1,3,8,0,22,21
2018,1,3,8,30,51,29
2018,1,3,9,0,76,142
2018,1,3,9,30,81,428
2018,1,3,10,0,80,488
2018,1,3,10,30,90,533
2018,1,3,11,0,108,462
2018,1,3,11,30,115,478
2018,1,3,12,0,117,482
2018,1,3,12,30,124,407
2018,1,3,13,0,99,632
2018,1,3,13,30,82,756
2018,1,3,14,0,77,653
2018,1,3,14,30,73,491
2018,1,3,15,0,69,291
2018,1,3,15,30,49,214
2018,1,3,16,0,27,109
2018,1,3,16,30,6,51
2018,1,3,17,0,0,0
2018,1,3,17,30,0,0
2018,1,3,18,0,0,0
2018,1,3,18,30,0,0
2018,1,3,19,0,0,0
2018,1,3,19,30,0,0
2018,1,3,20,0,0,0
2018,1,3,20,30,0,0
2018,1,3,21,0,0,0
2018,1,3,21,30,0,0
2018,1,3,22,0,0,0
2018,1,3,22,30,0,0
2018,1,3,23,0,0,0
2018,1,3,23,30,0,0
2018,1,4,0,0,0,0
2018,1,4,0,30,0,0
2018,1,4,1,0,0,0
2018,1,4,1,30,0,0
2018,1,4,2,0,0,0
2018,1,4,2,30,0,0
2018,1,4,3,0,0,0
2018,1,4,3,30,0,0
2018,1,4,4,0,0,0
2018,1,4,4,30,0,0
2018,1,4,5,0,0,0
2018,1,4,5,30,0,0
2018,1,4,6,0,0,0
