Normalised hour angle,RAVEN_sample_ID,Clearsky DNI_original,Clearsky DNI_fourier,Clearsky DNI_nofourier,Clearsky DNI_gaussianed
-1046.991319,0,925.0,917.572325459,7.42767454094,-0.0577985336868
-414.34461360000006,0,952.0,956.588672435,-4.5886724354,-0.238414820661
218.3020884,0,958.0,954.075296304,3.92470369594,-0.110436042507
850.9487903999999,0,944.0,928.021960372,15.978039628,0.0837121554799
1483.595492,0,906.0,886.852717984,19.1472820163,0.137269519283
2116.242194,0,831.0,831.399711743,-0.399711743345,-0.175303231201
2748.888896,0,674.0,665.666990912,8.33300908799,-0.0442263401361
3381.5356020000004,0,245.0,233.925472477,11.0745275228,0.000189310345661
-3585.4323659999995,0,0.0,5.46884941212,-5.46884941212,-0.251685615899
-2951.02111,0,711.0,567.883083203,143.116916797,2.6325525428
-2316.60985,0,895.0,806.070588983,88.929411017,1.69220102263
-1682.1985899999997,0,976.0,865.806318952,110.193681048,2.09832889776
-1047.787333,0,1017.0,917.541916202,99.458083798,1.88670789052
-413.3760732,0,1035.0,956.602094264,78.3979057363,1.49819687109
221.0351832,0,1037.0,954.159996821,82.8400031792,1.59475930616
855.4464432,0,1024.0,927.674547946,96.3254520537,1.82304371885
1489.857703,0,990.0,886.136020681,103.863979319,1.98178143313
2124.2689600000003,0,925.0,830.706352414,94.293647586,1.78398620506
2758.6802199999997,0,786.0,661.515491095,124.484508905,2.28037095805
3393.0914799999996,0,376.0,222.30807655,153.69192345,2.78915742655
-3593.410909,0,0.0,-3.71481097311,3.71481097311,-0.113598282604
-2957.231894,0,676.0,564.371420989,111.628579011,2.12246848364
-2321.052883,0,864.0,805.161288992,58.8387110082,0.995319499684
-1684.873868,0,947.0,865.523056309,81.4769436905,1.56356139707
-1048.6948539999999,0,987.0,917.507306339,69.4926936608,1.27034831109
-412.51583880000004,0,1004.0,956.613744823,47.3862551769,0.719968963915
223.66317599999996,0,1003.0,954.241187473,48.7588125271,0.751807582053
859.8421908,0,986.0,927.338402683,58.6615973169,0.990911685985
1496.0212060000001,0,951.0,885.425085858,65.5749141425,1.16449708589
2132.2002199999997,0,885.0,829.995536246,55.0044637539,0.903844703798
2768.3792350000003,0,744.0,657.357544109,86.6424558915,1.65706430081
3404.55825,0,333.0,210.670741209,122.329258791,2.24862831392
-2963.5653350000002,0,640.0,560.754048425,79.2459515747,1.51555933102
-2325.615808,0,825.0,804.213992947,20.7860070531,0.164969425777
-1687.6662800000001,0,906.0,865.228934551,40.7710654494,0.569364164019
-1049.71675,0,943.0,917.468408681,25.5315913194,0.248438718666
-411.7672224,0,957.0,956.623676955,0.376323044777,-0.163695050442
226.18230840000004,0,954.0,954.318747288,-0.318747288492,-0.174091061203
864.1318356,0,935.0,927.013669579,7.98633042067,-0.0494224252623
1502.0813660000001,0,902.0,884.721091511,17.2789084888,0.105814585131
2140.030894,0,842.0,829.267517795,12.7324822052,0.0284004938624
2777.980421,0,708.0,653.195676284,54.8043237156,0.899277635895
3415.9299520000004,0,296.0,199.025203001,96.9747969991,1.83613321453
-2970.022813,0,606.0,557.027467128,48.9725328721,0.756833622381
-2330.30047,0,808.0,803.227246739,4.7727532613,-0.0976702503361
-1690.578126,0,902.0,864.923937569,37.076062431,0.48696050013
-1050.855782,0,948.0,917.425142881,30.5748571192,0.346529877994
-411.1334388,0,967.0,956.631935355,10.3680646447,-0.0118302669886
228.5889012,0,966.0,954.392566717,11.607433283,0.00925595561054
868.3112447999999,0,946.0,926.700468704,19.299531296,0.139838279779
1508.033588,0,904.0,884.025192603,19.974807397,0.15124295564
2147.755932,0,827.0,828.522721705,-1.52272170478,-0.192143933735
2787.478272,0,668.0,649.03247723,18.9675227702,0.134237773
3427.2006159999996,0,225.0,187.383225259,37.6167747407,0.499195830456
-2976.605536,0,489.0,553.188147951,-64.1881479508,-0.961171971969
-2335.108554,0,710.0,802.199586929,-92.1995869289,-1.31635118117
-1693.6115719999998,0,812.0,864.608082957,-52.6080829575,-0.838828832377
-1052.114591,0,862.0,917.377435758,-55.3774357583,-0.866540248028
-410.61760919999995,0,875.0,956.638555214,-81.6385552142,-1.16693012242
230.8793724,0,860.0,954.462547508,-94.4625475083,-1.35048383731
872.3763539999999,0,826.0,926.398896983,-100.398896983,-1.41836031586
1513.8733359999999,0,771.0,883.338514763,-112.338514763,-1.54907611246
2155.3703170000003,0,683.0,827.761741903,-144.761741903,-1.95532164155
2796.867299,0,504.0,644.870613713,-140.870613713,-1.89703999828
