Date,Time,Clearsky DNI,Hour angle,Sunrise hour angle,Sunset hour angle,Normalised hour angle
2018-01-06 06:30:00-07:00,7590,0,-89.20461958,-75.26612323,76.6286182,-1.174558365
2018-01-06 07:30:00-07:00,7650,0,-74.20461958,-75.26612323,76.6286182,-0.977053174
2018-01-06 08:30:00-07:00,7710,146,-59.20461958,-75.26612323,76.6286182,-0.779547982
2018-01-06 09:30:00-07:00,7770,97,-44.20461958,-75.26612323,76.6286182,-0.582042791
2018-01-06 10:30:00-07:00,7830,362,-29.20461958,-75.26612323,76.6286182,-0.384537599
2018-01-06 11:30:00-07:00,7890,8,-14.20461958,-75.26612323,76.6286182,-0.187032407
2018-01-06 12:30:00-07:00,7950,8,0.795380417,-75.26612323,76.6286182,0.010472784
2018-01-06 13:30:00-07:00,8010,442,15.79538042,-75.26612323,76.6286182,0.207977976
2018-01-06 14:30:00-07:00,8070,5,30.79538042,-75.26612323,76.6286182,0.405483167
2018-01-06 15:30:00-07:00,8130,173,45.79538042,-75.26612323,76.6286182,0.602988359
2018-01-06 16:30:00-07:00,8190,18,60.79538042,-75.26612323,76.6286182,0.80049355
2018-01-06 17:30:00-07:00,8250,0,75.79538042,-75.26612323,76.6286182,0.997998742
2018-01-06 18:30:00-07:00,8310,0,90.79538042,-75.26612323,76.6286182,1.195503933
2018-01-06 19:30:00-07:00,8370,0,105.7953804,-75.26612323,76.6286182,1.393009125
2018-01-06 20:30:00-07:00,8430,0,120.7953804,-75.26612323,76.6286182,1.590514316
2018-01-06 21:30:00-07:00,8490,0,135.7953804,-75.26612323,76.6286182,1.788019508
2018-01-06 22:30:00-07:00,8550,0,150.7953804,-75.26612323,76.6286182,1.9855247
2018-01-06 23:30:00-07:00,8610,0,165.7953804,-75.26612323,76.6286182,2.183029891
2018-01-07 00:30:00-07:00,8670,0,-179.2046196,-75.25302789,76.82949928,-2.356675983
2018-01-07 01:30:00-07:00,8730,0,-164.2046196,-75.25302789,76.82949928,-2.159414663
2018-01-07 02:30:00-07:00,8790,0,-149.2046196,-75.25302789,76.82949928,-1.962153343
2018-01-07 03:30:00-07:00,8850,0,-134.2046196,-75.25302789,76.82949928,-1.764892024
2018-01-07 04:30:00-07:00,8910,0,-119.2046196,-75.25302789,76.82949928,-1.567630704
2018-01-07 05:30:00-07:00,8970,0,-104.2046196,-75.25302789,76.82949928,-1.370369385
2018-01-07 06:30:00-07:00,9030,0,-89.20461958,-75.25302789,76.82949928,-1.173108065
2018-01-07 07:30:00-07:00,9090,0,-74.20461958,-75.25302789,76.82949928,-0.975846745
2018-01-07 08:30:00-07:00,9150,110,-59.20461958,-75.25302789,76.82949928,-0.778585426
2018-01-07 09:30:00-07:00,9210,630,-44.20461958,-75.25302789,76.82949928,-0.581324106
2018-01-07 10:30:00-07:00,9270,386,-29.20461958,-75.25302789,76.82949928,-0.384062787
2018-01-07 11:30:00-07:00,9330,0,-14.20461958,-75.25302789,76.82949928,-0.186801467
2018-01-07 12:30:00-07:00,9390,202,0.795380417,-75.25302789,76.82949928,0.010459853
2018-01-07 13:30:00-07:00,9450,118,15.79538042,-75.25302789,76.82949928,0.207721172
2018-01-07 14:30:00-07:00,9510,235,30.79538042,-75.25302789,76.82949928,0.404982492
2018-01-07 15:30:00-07:00,9570,405,45.79538042,-75.25302789,76.82949928,0.602243812
2018-01-07 16:30:00-07:00,9630,24,60.79538042,-75.25302789,76.82949928,0.799505131
2018-01-07 17:30:00-07:00,9690,0,75.79538042,-75.25302789,76.82949928,0.996766451
2018-01-07 18:30:00-07:00,9750,0,90.79538042,-75.25302789,76.82949928,1.19402777
2018-01-07 19:30:00-07:00,9810,0,105.7953804,-75.25302789,76.82949928,1.39128909
2018-01-07 20:30:00-07:00,9870,0,120.7953804,-75.25302789,76.82949928,1.58855041
2018-01-07 21:30:00-07:00,9930,0,135.7953804,-75.25302789,76.82949928,1.785811729
2018-01-07 22:30:00-07:00,9990,0,150.7953804,-75.25302789,76.82949928,1.983073049
2018-01-07 23:30:00-07:00,10050,0,165.7953804,-75.25302789,76.82949928,2.180334369
2018-01-08 00:30:00-07:00,10110,0,-179.2046196,-75.24720583,77.03378395,-2.353604607
2018-01-08 01:30:00-07:00,10170,0,-164.2046196,-75.24720583,77.03378395,-2.156600372
2018-01-08 02:30:00-07:00,10230,0,-149.2046196,-75.24720583,77.03378395,-1.959596136
2018-01-08 03:30:00-07:00,10290,0,-134.2046196,-75.24720583,77.03378395,-1.7625919
