time,process,process_on,process_status,w_dot_gen_kWe,elec_sold_kWe,price_elec,m_dot_hpt,m_dot_extract,hot_TES_inventory,cold_TES_inventory,v_dot_in_m3hr,capacity_m3day
22,ED,0,OFF,0.0,0.0,-0.04398707,33.16433089367087,11.975186985858857,197605174.99293086,1559.5539469080852,0.0,0.0
22,CRY,0,OFF,0.0,0.0,-0.04398707,33.16433089367087,11.975186985858857,197605174.99293086,1559.5539469080852,0.0,0.0
23,RO,0,OFF,0.0,0.0,-0.03953902,33.16432688416746,11.975163812653657,206587227.49721265,1630.4441879447777,0.0,0.0
23,MED,0,OFF,0.0,0.0,-0.03953902,33.16432688416746,11.975163812653657,206587227.49721265,1630.4441879447777,0.0,0.0
23,ED,0,OFF,0.0,0.0,-0.03953902,33.16432688416746,11.975163812653657,206587227.49721265,1630.4441879447777,0.0,0.0
23,CRY,0,OFF,0.0,0.0,-0.03953902,33.16432688416746,11.975163812653657,206587227.49721265,1630.4441879447777,0.0,0.0
24,RO,0,OFF,0.0,0.0,-0.037316209999999995,33.164324418750184,11.975149563602184,215569280.05502445,1701.3343446303315,0.0,0.0
24,MED,0,OFF,0.0,0.0,-0.037316209999999995,33.164324418750184,11.975149563602184,215569280.05502445,1701.3343446303315,0.0,0.0
24,ED,0,OFF,0.0,0.0,-0.037316209999999995,33.164324418750184,11.975149563602184,215569280.05502445,1701.3343446303315,0.0,0.0
24,CRY,0,OFF,0.0,0.0,-0.037316209999999995,33.164324418750184,11.975149563602184,215569280.05502445,1701.3343446303315,0.0,0.0
25,RO,0,OFF,0.0,0.0,-0.03478867,33.16432108388379,11.975130289508822,224551332.685244,1772.2243872176446,0.0,0.0
25,MED,0,OFF,0.0,0.0,-0.03478867,33.16432108388379,11.975130289508822,224551332.685244,1772.2243872176446,0.0,0.0
25,ED,0,OFF,0.0,0.0,-0.03478867,33.16432108388379,11.975130289508822,224551332.685244,1772.2243872176446,0.0,0.0
25,CRY,0,OFF,0.0,0.0,-0.03478867,33.16432108388379,11.975130289508822,224551332.685244,1772.2243872176446,0.0,0.0
26,RO,0,OFF,0.0,0.0,-0.033104390000000004,33.164318410413834,11.975114838002328,233533385.37351084,1843.11433833556,0.0,0.0
26,MED,0,OFF,0.0,0.0,-0.033104390000000004,33.164318410413834,11.975114838002328,233533385.37351084,1843.11433833556,0.0,0.0
26,ED,0,OFF,0.0,0.0,-0.033104390000000004,33.164318410413834,11.975114838002328,233533385.37351084,1843.11433833556,0.0,0.0
26,CRY,0,OFF,0.0,0.0,-0.033104390000000004,33.164318410413834,11.975114838002328,233533385.37351084,1843.11433833556,0.0,0.0
27,RO,0,OFF,0.0,0.0,-0.033566490000000004,33.16431928475894,11.975119891340967,242515438.04279357,1914.0043193680885,0.0,0.0
27,MED,0,OFF,0.0,0.0,-0.033566490000000004,33.16431928475894,11.975119891340967,242515438.04279357,1914.0043193680885,0.0,0.0
27,ED,0,OFF,0.0,0.0,-0.033566490000000004,33.16431928475894,11.975119891340967,242515438.04279357,1914.0043193680885,0.0,0.0
27,CRY,0,OFF,0.0,0.0,-0.033566490000000004,33.16431928475894,11.975119891340967,242515438.04279357,1914.0043193680885,0.0,0.0
28,RO,0,OFF,0.0,0.0,-0.03332801,33.16431894806492,11.975117945394295,251497490.71938676,1984.8942888810564,0.0,0.0
28,MED,0,OFF,0.0,0.0,-0.03332801,33.16431894806492,11.975117945394295,251497490.71938676,1984.8942888810564,0.0,0.0
28,ED,0,OFF,0.0,0.0,-0.03332801,33.16431894806492,11.975117945394295,251497490.71938676,1984.8942888810564,0.0,0.0
28,CRY,0,OFF,0.0,0.0,-0.03332801,33.16431894806492,11.975117945394295,251497490.71938676,1984.8942888810564,0.0,0.0
29,RO,0,OFF,0.0,0.0,-0.03373259,33.16431966533064,11.975122090881724,260479543.3804064,2055.7842829343654,0.0,0.0
29,MED,0,OFF,0.0,0.0,-0.03373259,33.16431966533064,11.975122090881724,260479543.3804064,2055.7842829343654,0.0,0.0
29,ED,0,OFF,0.0,0.0,-0.03373259,33.16431966533064,11.975122090881724,260479543.3804064,2055.7842829343654,0.0,0.0
29,CRY,0,OFF,0.0,0.0,-0.03373259,33.16431966533064,11.975122090881724,260479543.3804064,2055.7842829343654,0.0,0.0
30,RO,0,OFF,0.0,0.0,-0.03653849,33.16432385497595,11.975146305229616,269461595.95045906,2126.674420331096,0.0,0.0
30,MED,0,OFF,0.0,0.0,-0.03653849,33.16432385497595,11.975146305229616,269461595.95045906,2126.674420331096,0.0,0.0
30,ED,0,OFF,0.0,0.0,-0.03653849,33.16432385497595,11.975146305229616,269461595.95045906,2126.674420331096,0.0,0.0
30,CRY,0,OFF,0.0,0.0,-0.03653849,33.16432385497595,11.975146305229616,269461595.95045906,2126.674420331096,0.0,0.0
31,RO,0,OFF,0.0,0.0,-0.04053761,33.16432837148315,11.975172408698654,278443648.42244774,2197.5647122544156,0.0,0.0
31,MED,0,OFF,0.0,0.0,-0.04053761,33.16432837148315,11.975172408698654,278443648.42244774,2197.5647122544156,0.0,0.0
31,ED,0,OFF,0.0,0.0,-0.04053761,33.16432837148315,11.975172408698654,278443648.42244774,2197.5647122544156,0.0,0.0
31,CRY,0,OFF,0.0,0.0,-0.04053761,33.16432837148315,11.975172408698654,278443648.42244774,2197.5647122544156,0.0,0.0
