"Time stamp","System power generated | (kW)","TES charge state | (MWht)","PPA price multiplier"
"Jan 7, 01:00 pm",103894,1572.57,1.11459
"Jan 7, 02:00 pm",105793,1884.28,1.1101
"Jan 7, 03:00 pm",109276,2085.56,1.10449
"Jan 7, 04:00 pm",113007,2074.62,1.27346
"Jan 7, 05:00 pm",116819,1839.76,1.52913
"Jan 7, 06:00 pm",117130,1604.91,2.11152
"Jan 7, 07:00 pm",117187,1370.07,1.95629
"Jan 7, 08:00 pm",117211,1135.26,1.87986
"Jan 7, 09:00 pm",117235,900.487,1.68133
"Jan 7, 10:00 pm",117228,665.757,1.49971
"Jan 7, 11:00 pm",117228,431.097,1.41362
"Jan 8, 12:00 am",117216,196.561,1.2775
"Jan 8, 01:00 am",101398,0,1.15651
"Jan 8, 02:00 am",-607.2,0,1.13371
"Jan 8, 03:00 am",-607.2,0,1.09253
"Jan 8, 04:00 am",-607.2,0,1.10293
"Jan 8, 05:00 am",-607.2,0,1.16079
"Jan 8, 06:00 am",-607.2,0,1.32762
"Jan 8, 07:00 am",-607.2,0,1.67899
"Jan 8, 08:00 am",-4126.71,0,1.70996
"Jan 8, 09:00 am",53489.3,153.117,1.28822
"Jan 8, 10:00 am",108072,435.666,1.19858
"Jan 8, 11:00 am",105695,782.919,1.10522
"Jan 8, 12:00 pm",104356,1160.72,1.08202
"Jan 8, 01:00 pm",104696,1530.22,0.979627
"Jan 8, 02:00 pm",106592,1845.93,1.00903
"Jan 8, 03:00 pm",109427,2062.39,1.07927
"Jan 8, 04:00 pm",112998,2078.68,1.28581
"Jan 8, 05:00 pm",117013,1843.81,1.68849
"Jan 8, 06:00 pm",117259,1608.95,2.09162
"Jan 8, 07:00 pm",117254,1374.11,1.74542
"Jan 8, 08:00 pm",117249,1139.3,1.80373
"Jan 8, 09:00 pm",117243,904.522,1.61213
"Jan 8, 10:00 pm",117235,669.79,1.46557
"Jan 8, 11:00 pm",117226,435.13,1.32087
"Jan 9, 12:00 am",117214,200.592,1.21761
"Jan 9, 01:00 am",103153,0,1.18886
"Jan 9, 02:00 am",-607.2,0,1.18001
"Jan 9, 03:00 am",-607.2,0,1.13076
"Jan 9, 04:00 am",-607.2,0,1.14947
"Jan 9, 05:00 am",-607.2,0,1.20028
"Jan 9, 06:00 am",-607.2,0,1.3426
"Jan 9, 07:00 am",-607.2,0,1.61826
"Jan 9, 08:00 am",-607.2,0,1.65855
"Jan 9, 09:00 am",5253.94,113.508,1.18936
"Jan 9, 10:00 am",107480,415.695,1.08447
"Jan 9, 11:00 am",105770,760.78,0.970295
"Jan 9, 12:00 pm",104766,1128.17,0.954505
"Jan 9, 01:00 pm",112375,1111.95,0.886214
"Jan 9, 02:00 pm",106575,1419.14,0.892445
"Jan 9, 03:00 pm",109618,1626.71,0.905182
"Jan 9, 04:00 pm",113658,1565.4,1.14864
"Jan 9, 05:00 pm",116995,1330.58,1.4549
"Jan 9, 06:00 pm",117201,1095.79,1.89842
"Jan 9, 07:00 pm",117194,861.034,1.74762
"Jan 9, 08:00 pm",117217,626.325,1.6991
"Jan 9, 09:00 pm",117217,391.692,1.55874
"Jan 9, 10:00 pm",117204,157.196,1.36504
"Jan 9, 11:00 pm",83257.4,0,1.27581
"Jan 10, 12:00 am",-607.2,0,1.20057
"Jan 10, 01:00 am",-607.2,0,1.07068
"Jan 10, 02:00 am",-607.2,0,1.05369
"Jan 10, 03:00 am",-607.2,0,1.00411
"Jan 10, 04:00 am",-607.2,0,1.01293
"Jan 10, 05:00 am",-607.2,0,1.06685
"Jan 10, 06:00 am",-607.2,0,1.23346
"Jan 10, 07:00 am",-607.2,0,1.56569
"Jan 10, 08:00 am",-4476.09,0,1.54899
"Jan 10, 09:00 am",73200.3,187.207,1.10558
"Jan 10, 10:00 am",107173,494.719,0.953598
"Jan 10, 11:00 am",105362,845.625,0.791637
"Jan 10, 12:00 pm",104419,1214.79,0.703832
"Jan 10, 01:00 pm",111482,1255.23,0.632567
"Jan 10, 02:00 pm",106301,1571.2,0.596906
"Jan 10, 03:00 pm",116126,1336.41,0.678271
"Jan 10, 04:00 pm",112662,1186.44,1.0269
"Jan 10, 05:00 pm",116888,951.677,1.39413
"Jan 10, 06:00 pm",117153,716.958,1.85549
"Jan 10, 07:00 pm",117144,482.303,1.73633
"Jan 10, 08:00 pm",117163,247.755,1.61324
"Jan 10, 09:00 pm",117143,13.4342,1.44001
"Jan 10, 10:00 pm",6565.38,0,1.28285
"Jan 10, 11:00 pm",-607.2,0,1.23333
"Jan 11, 12:00 am",-607.2,0,1.12879
"Jan 11, 01:00 am",-607.2,0,1.09844
"Jan 11, 02:00 am",-607.2,0,1.04574
"Jan 11, 03:00 am",-607.2,0,1.01611
"Jan 11, 04:00 am",-607.2,0,0.994122
"Jan 11, 05:00 am",-607.2,0,1.09959
"Jan 11, 06:00 am",-607.2,0,1.28903
"Jan 11, 07:00 am",-607.2,0,1.64889
"Jan 11, 08:00 am",-607.2,0,1.53125
"Jan 11, 09:00 am",-4356.31,0,1.13509
"Jan 11, 10:00 am",-818.16,0,1.02364
"Jan 11, 11:00 am",-3552.66,0,0.859234
"Jan 11, 12:00 pm",43204.2,77.6558,0.844615
"Jan 11, 01:00 pm",112271,29.9226,0.794114
"Jan 11, 02:00 pm",112409,30.9639,0.823201
"Jan 11, 03:00 pm",112147,65.0429,0.916032
"Jan 11, 04:00 pm",35562.4,0,1.1237
"Jan 11, 05:00 pm",-607.2,0,1.29178
"Jan 11, 06:00 pm",-607.2,0,1.6687
"Jan 11, 07:00 pm",-607.2,0,1.53733
