,Efficiency
945,1.1089
946,1.10854
947,1.10782
948,1.10782
949,1.10746
950,1.10746
951,1.10674
952,1.10494
953,1.10242
954,1.09954
955,1.09702
956,1.09522
957,1.0945
958,1.0945
959,1.09486
960,1.09702
961,1.10062
962,1.10206
963,1.10314
964,1.10386
965,1.10422
966,1.10458
967,1.10494
968,1.1053
969,1.10602
970,1.10638
971,1.1071
972,1.10782
973,1.1089
974,1.11034
975,1.10674
976,1.10206
977,1.09558
978,1.0909
979,1.08874
980,1.08802
981,1.08802
982,1.08874
983,1.09018
984,1.09306
985,1.09918
986,1.1017
987,1.10314
988,1.10386
989,1.10458
990,1.10494
991,1.10494
992,1.10602
993,1.1071
994,1.10782
995,1.1089
996,1.10962
997,1.1089
998,1.10818
999,1.1053
1000,1.10134
1001,1.09846
1002,1.09486
1003,1.09198
1004,1.09018
1005,1.09018
1006,1.09162
1007,1.0941400000000001
1008,1.09702
1009,1.09954
1010,1.10026
1011,1.10098
1012,1.10242
1013,1.1035
1014,1.10386
1015,1.10242
1016,1.10062
1017,1.0999
1018,1.10134
1019,1.10458
1020,1.10782
1021,1.10926
1022,1.11034
1023,1.10782
1024,1.10566
1025,1.10278
1026,1.09954
1027,1.09666
1028,1.09486
1029,1.09342
1030,1.0927
1031,1.09342
1032,1.0963
1033,1.10314
1034,1.10566
1035,1.10674
1036,1.10746
1037,1.10818
1038,1.10854
1039,1.10854
1040,1.1071
1041,1.10746
1042,1.10854
1043,1.1089
1044,1.1089
1045,1.10926
1046,1.1089
1047,1.10638
1048,1.10386
1049,1.10242
1050,1.10062
1051,1.09918
1052,1.09846
1053,1.09738
1054,1.0963
1055,1.09702
1056,1.09918
1057,1.10386
1058,1.10602
1059,1.10674
1060,1.10818
1061,1.10926
1062,1.10926
1063,1.10998
1064,1.1107
1065,1.11178
1066,1.1125
1067,1.11286
1068,1.11286
1069,1.1125
1070,1.11394
1071,1.1107
1072,1.10602
1073,1.10134
1074,1.09882
1075,1.0963
1076,1.0941400000000001
1077,1.09306
1078,1.0927
1079,1.09342
1080,1.09594
1081,1.10242
1082,1.10458
1083,1.1053
1084,1.10638
1085,1.1071
1086,1.10746
1087,1.10674
1088,1.10674
1089,1.10674
1090,1.10674
1091,1.10638
1092,1.10602
1093,1.10602
1094,1.10566
1095,1.10314
1096,1.10062
1097,1.0981
1098,1.0963
1099,1.0941400000000001
1100,1.0927
1101,1.0927
1102,1.09342
1103,1.0941400000000001
1104,1.09522
1105,1.09954
1106,1.10134
1107,1.10278
1108,1.10494
1109,1.10602
1110,1.1071
1111,1.10818
1112,1.10854
1113,1.1089
1114,1.1089
1115,1.10962
1116,1.1107
1117,1.11214
1118,1.11394
1119,1.10998
1120,1.10602
1121,1.10134
1122,1.09774
1123,1.09486
1124,1.09342
1125,1.09306
1126,1.09342
1127,1.09486
1128,1.0981
1129,1.1053
1130,1.10854
1131,1.11034
1132,1.11178
1133,1.11322
1134,1.11502
1135,1.11574
1136,1.11646
1137,1.11646
1138,1.11754
1139,1.11862
1140,1.11898
1141,1.11898
1142,1.11898
1143,1.11286
1144,1.1071
1145,1.10062
1146,1.09666
1147,1.0941400000000001
1148,1.0927
1149,1.09198
1150,1.09234
1151,1.09378
1152,1.09738
1153,1.1053
1154,1.10854
1155,1.11034
1156,1.11142
1157,1.1125
1158,1.11358
1159,1.11466
1160,1.11538
1161,1.11646
1162,1.11718
1163,1.1179000000000001
1164,1.11826
1165,1.11826
1166,1.1179000000000001
1167,1.11178
1168,1.10458
1169,1.0981
